VHCL_CRASH_ID,VHCL_VHCL_ID,VHCL_VHCL_CODED_SEQ_NO,VHCL_OWNSHP_CD,VHCL_OWNSHP_SHORT_DESC,VHCL_USE_CD,VHCL_USE_SHORT_DESC,VHCL_TYP_CD,VHCL_TYP_SHORT_DESC,EMRGCY_VHCL_USE_FLG,TRLR_QTY,VHCL_MVMNT_CD,VHCL_MVMNT_SHORT_DESC,VHCL_CMPSS_DIR_FROM_CD,VHCL_CMPSS_DIR_FROM_SHORT_DESC,VHCL_CMPSS_DIR_TO_CD,VHCL_CMPSS_DIR_TO_SHORT_DESC,VHCL_ACTN_CD,VHCL_ACTN_SHORT_DESC,VHCL_CAUSE_1_CD,VHCL_CAUSE_1_SHORT_DESC,VHCL_CAUSE_2_CD,VHCL_CAUSE_2_SHORT_DESC,VHCL_CAUSE_3_CD,VHCL_CAUSE_3_SHORT_DESC,VHCL_EVNT_1_CD,VHCL_EVNT_1_SHORT_DESC,VHCL_EVNT_2_CD,VHCL_EVNT_2_SHORT_DESC,VHCL_EVNT_3_CD,VHCL_EVNT_3_SHORT_DESC,VHCL_SPEED_FLG,VHCL_HIT_RUN_FLG,VHCL_SFTY_EQUIP_USED_QTY,VHCL_SFTY_EQUIP_UNUSED_QTY,VHCL_SFTY_EQUIP_USE_UNKNWN_QTY,VHCL_OCCUP_CNT,STRIKG_VHCL_FLG,PARTIC_CRASH_ID,PARTIC_VHCL_ID,PARTIC_ID,PARTIC_DSPLY_SEQ_NO,PARTIC_VHCL_CODED_SEQ_NO,PARTIC_VHCL_SEQ_NO,PARTIC_TYP_CD,PARTIC_TYP_SHORT_DESC,PARTIC_HIT_RUN_FLG,PUB_EMPL_FLG,SEX_CD,AGE_VAL,DRVR_LIC_STAT_CD,DRVR_LIC_STAT_SHORT_DESC,DRVR_RES_STAT_CD,DRVR_RES_SHORT_DESC,INJ_SVRTY_CD,INJ_SVRTY_SHORT_DESC,SFTY_EQUIP_USE_CD,SFTY_EQUIP_USE_SHORT_DESC,AIRBAG_DEPLOY_IND,PARTIC_MVMNT_CD,PARTIC_MVMNT_SHORT_DESC,PARTIC_CMPSS_DIR_FROM_CD,PARTIC_CMPSS_DIR_FROM_SHORT_DESC,PARTIC_CMPSS_DIR_TO_CD,PARTIC_CMPSS_DIR_TO_SHORT_DESC,NON_MOTRST_LOC_CD,NON_MOTRST_LOC_SHORT_DESC,PARTIC_ACTN_CD,PARTIC_ACTN_SHORT_DESC,PARTIC_ERR_1_CD,PARTIC_ERR_1_SHORT_DESC,PARTIC_ERR_2_CD,PARTIC_ERR_2_SHORT_DESC,PARTIC_ERR_3_CD,PARTIC_ERR_3_SHORT_DESC,PARTIC_CAUSE_1_CD,PARTIC_CAUSE_1_SHORT_DESC,PARTIC_CAUSE_2_CD,PARTIC_CAUSE_2_SHORT_DESC,PARTIC_CAUSE_3_CD,PARTIC_CAUSE_3_SHORT_DESC,PARTIC_EVNT_1_CD,PARTIC_EVNT_1_SHORT_DESC,PARTIC_EVNT_2_CD,PARTIC_EVNT_2_SHORT_DESC,PARTIC_EVNT_3_CD,PARTIC_EVNT_3_SHORT_DESC,BAC_VAL,ALCHL_USE_RPT_IND,DRUG_USE_RPT_IND,MJ_USE_RPT_IND,STRIKG_PARTIC_FLG,CRASH_ERR_LONG_DESC,CAUSE_LONG_DESC,EVNT_LONG_DESC,MVMNT_LONG_DESC,ACTN_LONG_DESC
1341313,2540285,1,1,PRVTE,0,NONE,1,PSNGR CAR,False,0.0,1,STRGHT,3,E,7,W,0,NONE,0,NO CODE,,,,,,,,,,,False,False,1,0,0,1,True,1341313,2540285,2902467,1,1,1,1,DRVR,False,False,2,51,1,OR-Y,1,OR<25,9,NONE,2,BELT,0.0,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,,0.0,0.0,,False,No error,No cause associated at this level,,Straight Ahead,No action or non-warranted
1337234,2532481,1,1,PRVTE,0,NONE,1,PSNGR CAR,False,0.0,1,STRGHT,6,SW,2,NE,0,NONE,0,NO CODE,,,,,,,,,,,False,False,0,0,2,2,True,1337234,2532481,2893717,1,1,1,1,DRVR,False,False,1,22,1,OR-Y,1,OR<25,9,NONE,9,UNK,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,,9.0,9.0,,False,No error,No cause associated at this level,,Straight Ahead,No action or non-warranted
1343811,2544957,1,1,PRVTE,0,NONE,1,PSNGR CAR,False,0.0,3,TURN-L,5,S,7,W,19,ENTR DWY,0,NO CODE,,,,,,,,,,,False,False,1,0,0,1,True,1343811,2544957,2907832,1,1,1,1,DRVR,False,False,2,60,1,OR-Y,1,OR<25,9,NONE,2,BELT,,,,,,,,,,0,NONE,52,CARELESS,27.0,BIKE ROW,,,32,CARELESS,,,,,,,,,,,,0.0,0.0,,False,Careless driving (per PAR),No cause associated at this level,,Turning Left,Entering alley or driveway from street or highway
1336156,2530411,1,1,PRVTE,0,NONE,1,PSNGR CAR,False,0.0,6,STOP,3,E,4,SE,13,STP TURN,0,NO CODE,,,,,,,,,,,False,False,0,0,1,1,False,1336156,2530411,2891367,2,1,1,1,DRVR,False,False,1,23,1,OR-Y,1,OR<25,9,NONE,9,UNK,,,,,,,,,,0,NONE,27,BIKE ROW,,,,,2,NO-YIELD,,,,,,,,,,,,,,,False,Did not have right-of-way over pedalcyclist,No cause associated at this level,,Stopped in Traffic,Stopped while executing a turn
1316718,2493948,1,1,PRVTE,0,NONE,1,PSNGR CAR,False,0.0,1,STRGHT,3,E,7,W,15,GO A/STOP,0,NO CODE,,,,,,,,,,,False,False,0,0,1,1,True,1316718,2493948,2849782,1,1,1,1,DRVR,False,False,1,35,1,OR-Y,1,OR<25,9,NONE,9,UNK,,,,,,,,,,0,NONE,27,BIKE ROW,,,,,0,NO CODE,,,,,,,,,,,,0.0,0.0,,False,Did not have right-of-way over pedalcyclist,No cause associated at this level,,Straight Ahead,Proceed after stopping for a stop sign/flashing red.
1316082,2492763,1,1,PRVTE,0,NONE,1,PSNGR CAR,False,0.0,2,TURN-R,4,SE,2,NE,19,ENTR DWY,0,NO CODE,,,,,,,,,,,False,False,0,0,1,1,True,1316082,2492763,2848449,1,1,1,1,DRVR,False,False,1,20,1,OR-Y,1,OR<25,9,NONE,9,UNK,,,,,,,,,,0,NONE,27,BIKE ROW,,,,,2,NO-YIELD,,,,,,,,,,,,0.0,0.0,,False,Did not have right-of-way over pedalcyclist,No cause associated at this level,,Turning Right,Entering alley or driveway from street or highway
1336529,2531156,1,1,PRVTE,0,NONE,1,PSNGR CAR,False,0.0,1,STRGHT,5,S,1,N,15,GO A/STOP,0,NO CODE,,,,,,,,,,,False,False,2,0,0,2,False,1336529,2531156,2892213,2,1,1,1,DRVR,False,False,2,58,1,OR-Y,1,OR<25,9,NONE,2,BELT,1.0,,,,,,,,,0,NONE,27,BIKE ROW,,,,,2,NO-YIELD,,,,,,,,,,,,,,,False,Did not have right-of-way over pedalcyclist,No cause associated at this level,,Straight Ahead,Proceed after stopping for a stop sign/flashing red.
1336378,2530865,1,1,PRVTE,0,NONE,1,PSNGR CAR,False,0.0,1,STRGHT,3,E,7,W,0,NONE,0,NO CODE,,,,,,,,,,,False,False,1,0,0,1,True,1336378,2530865,2891875,1,1,1,1,DRVR,False,False,2,58,1,OR-Y,1,OR<25,9,NONE,2,BELT,0.0,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,,,,,False,No error,No cause associated at this level,,Straight Ahead,No action or non-warranted
1344951,2547083,1,1,PRVTE,0,NONE,1,PSNGR CAR,False,0.0,6,STOP,7,W,3,E,11,STOPPED,0,NO CODE,,,,,110.0,N-MTR,,,,,False,False,1,0,0,1,True,1344951,2547083,2910282,1,1,1,1,DRVR,False,False,2,60,1,OR-Y,1,OR<25,9,NONE,2,BELT,,,,,,,,,,0,NONE,0,NONE,,,,,0,NO CODE,,,,,,,,,,,,0.0,0.0,,False,No error,No cause associated at this level,,Stopped in Traffic,Stopped in traffic not waiting to make a left turn
1335857,2529885,1,1,PRVTE,0,NONE,1,PSNGR CAR,False,0.0,3,TURN-L,5,S,7,W,19,ENTR DWY,0,NO CODE,,,,,,,,,,,False,False,1,0,0,1,False,1335857,2529885,2890745,2,1,1,1,DRVR,False,False,1,60,1,OR-Y,1,OR<25,9,NONE,2,BELT,,,,,,,,,,0,NONE,27,BIKE ROW,,,,,2,NO-YIELD,,,,,,,,,,,86.0,0.0,0.0,,False,Did not have right-of-way over pedalcyclist,No cause associated at this level,,Turning Left,Entering alley or driveway from street or highway
